"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2018 20:45 - 04.01.2018 21:00","60361","64903"
"04.01.2018 21:00 - 04.01.2018 21:15","59452","64667"
"04.01.2018 21:15 - 04.01.2018 21:30","58910","63931"
"04.01.2018 21:30 - 04.01.2018 21:45","58775","63049"
"04.01.2018 21:45 - 04.01.2018 22:00","57907","62696"
"04.01.2018 22:00 - 04.01.2018 22:15","58094","62770"
"04.01.2018 22:15 - 04.01.2018 22:30","57231","61916"
"04.01.2018 22:30 - 04.01.2018 22:45","56244","61099"
"04.01.2018 22:45 - 04.01.2018 23:00","55205","59949"
"04.01.2018 23:00 - 04.01.2018 23:15","53974","59052"
"04.01.2018 23:15 - 04.01.2018 23:30","52935","57807"
"04.01.2018 23:30 - 04.01.2018 23:45","51974","56861"
"04.01.2018 23:45 - 05.01.2018 00:00","51165","55994"
"05.01.2018 00:00 - 05.01.2018 00:15","51831","54537"
"05.01.2018 00:15 - 05.01.2018 00:30","50972","53935"
"05.01.2018 00:30 - 05.01.2018 00:45","50446","53418"
"05.01.2018 00:45 - 05.01.2018 01:00","49765","52911"
"05.01.2018 01:00 - 05.01.2018 01:15","49122","52080"
"05.01.2018 01:15 - 05.01.2018 01:30","48577","51617"
"05.01.2018 01:30 - 05.01.2018 01:45","48483","51340"
"05.01.2018 01:45 - 05.01.2018 02:00","48185","51077"
"05.01.2018 02:00 - 05.01.2018 02:15","47806","51053"
"05.01.2018 02:15 - 05.01.2018 02:30","47602","51036"
"05.01.2018 02:30 - 05.01.2018 02:45","47647","51124"
"05.01.2018 02:45 - 05.01.2018 03:00","47656","51203"
"05.01.2018 03:00 - 05.01.2018 03:15","47699","51266"
"05.01.2018 03:15 - 05.01.2018 03:30","47602","51285"
"05.01.2018 03:30 - 05.01.2018 03:45","47654","51080"
"05.01.2018 03:45 - 05.01.2018 04:00","47766","51618"
"05.01.2018 04:00 - 05.01.2018 04:15","48174","51865"
"05.01.2018 04:15 - 05.01.2018 04:30","48415","52114"
"05.01.2018 04:30 - 05.01.2018 04:45","48764","52594"
"05.01.2018 04:45 - 05.01.2018 05:00","49131","52946"
"05.01.2018 05:00 - 05.01.2018 05:15","49890","53770"
"05.01.2018 05:15 - 05.01.2018 05:30","50241","54194"
"05.01.2018 05:30 - 05.01.2018 05:45","51068","54837"
"05.01.2018 05:45 - 05.01.2018 06:00","51971","56154"
"05.01.2018 06:00 - 05.01.2018 06:15","53332","58138"
"05.01.2018 06:15 - 05.01.2018 06:30","55045","59519"
"05.01.2018 06:30 - 05.01.2018 06:45","56177","61470"
"05.01.2018 06:45 - 05.01.2018 07:00","57545","63274"
"05.01.2018 07:00 - 05.01.2018 07:15","59164","64928"
"05.01.2018 07:15 - 05.01.2018 07:30","60204","66116"
"05.01.2018 07:30 - 05.01.2018 07:45","61906","67149"
"05.01.2018 07:45 - 05.01.2018 08:00","62859","68076"
"05.01.2018 08:00 - 05.01.2018 08:15","63891","69155"
"05.01.2018 08:15 - 05.01.2018 08:30","64093","69291"
"05.01.2018 08:30 - 05.01.2018 08:45","64301","69690"
"05.01.2018 08:45 - 05.01.2018 09:00","64506","69858"
"05.01.2018 09:00 - 05.01.2018 09:15","64814","70227"
"05.01.2018 09:15 - 05.01.2018 09:30","65338","70144"
"05.01.2018 09:30 - 05.01.2018 09:45","65260","70484"
"05.01.2018 09:45 - 05.01.2018 10:00","65774","70713"
"05.01.2018 10:00 - 05.01.2018 10:15","65829","71091"
"05.01.2018 10:15 - 05.01.2018 10:30","66163","71110"
